,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
233,233,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10650,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,College Creek,NormalNormal,Average,Above Average,1976,1976,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Good,Average Exposure,Low QualityAverage Living Quarters,894,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,894,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Attached to the home,1976,Unfinished,1,308,Typical/Average,Typical/Average,Paved,Minimum Privacy,Feb,2010,Warranty Deed - Conventional,Normal Sale,128200,2.0,365,34,12.03755868544601
234,234,2-STORY 1946 & NEWER,Residential Low-Density,0,7851,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Average,2002,2002,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,860,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1960,4,1,Good,8,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),2002,Finished,2,440,Typical/Average,Typical/Average,Paved,No Fence,May,2010,Warranty Deed - Conventional,Normal Sale,216500,3.5,336,8,27.57610495478283
235,235,2-STORY PUD - 1946 & NEWER,Residential Medium,21,1680,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,NormalNormal,Above Average,Fair,1971,1971,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,604,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,483,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,987,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1971,Unfinished,1,264,Typical/Average,Typical/Average,Paved,No Fence,Aug,2008,Warranty Deed - Conventional,Normal Sale,89500,1.5,0,37,53.273809523809526
236,236,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8773,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,College Creek,NormalNormal,Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,98,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1414,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1414,3,1,Good,6,Typical Functionality,0,No Fireplace,Attached to the home,2004,Rough Finished,2,494,Typical/Average,Typical/Average,Paved,No Fence,May,2010,Warranty Deed - Conventional,Normal Sale,185500,2.0,237,6,21.14442038071355
237,237,2-STORY 1946 & NEWER,Residential Low-Density,0,9453,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer West,Within 200' of East-West RailroadNormal,Good,Good,1993,2003,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,996,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1744,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,1993,Rough Finished,2,457,Typical/Average,Typical/Average,Paved,No Fence,Feb,2010,Warranty Deed - Conventional,Normal Sale,194500,2.5,678,17,20.575478684015657
238,238,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,93,12030,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2007,2007,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,254,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1694,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2007,Finished,3,818,Typical/Average,Typical/Average,Paved,No Fence,Dec,2007,Home just constructed and sold,Home was not completed when last assessed,318000,2.0,396,0,26.433915211970074
239,239,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,52,8741,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,NormalNormal,Above Average,Below Average,1945,1950,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Fair (70-79 inches),Fair - dampness or some cracking or settling,No Exposure,Low QualityUnfinished,735,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1487,3,1,Average/Typical,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1949,Unfinished,1,220,Typical/Average,Typical/Average,Paved,Minimum Privacy,Apr,2010,Warranty Deed - Conventional,Normal Sale,113000,1.5,140,65,12.927582656446631
240,240,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,75,9000,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Very Good,Average,2008,2008,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,36,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1566,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2008,Rough Finished,2,750,Typical/Average,Typical/Average,Paved,No Fence,Apr,2010,Warranty Deed - Conventional,Normal Sale,262500,3.0,312,2,29.166666666666668
242,242,1-1/2 STORY FINISHED ALL AGES,Residential Medium,63,5000,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Old Town,NormalNormal,Average,Below Average,1900,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,540,Gas forced warm air furnace,Good,No,Fuse Box over 60 AMP and all Romex wiring (Average),1440,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1940,Unfinished,1,352,Fair,Typical/Average,Paved,No Fence,Apr,2006,Warranty Deed - Conventional,Normal Sale,79000,1.0,77,106,15.8
243,243,2-STORY PUD - 1946 & NEWER,Residential Low-Density,75,10762,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer West,NormalNormal,Above Average,Above Average,1980,1980,Gable,Standard (Composite) Shingle,PlywoodPlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,626,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1217,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1980,Rough Finished,1,288,Typical/Average,Typical/Average,Paved,No Fence,Apr,2009,Warranty Deed - Conventional,Normal Sale,120000,1.5,28,29,11.150343802267237
244,244,2-STORY 1946 & NEWER,Residential Low-Density,0,8880,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,NormalNormal,Good,Average,1994,2002,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,948,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2110,3,1,Good,8,Typical Functionality,2,Fair - Prefabricated Fireplace in the basement,Attached to the home,1994,Rough Finished,2,463,Typical/Average,Typical/Average,Paved,No Fence,May,2010,Warranty Deed - Conventional,Normal Sale,205000,3.5,130,16,23.085585585585587
245,245,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10400,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,NormalNormal,Good,Average,1988,1988,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,Brick Face,102,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1845,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1872,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1988,Finished,2,604,Typical/Average,Typical/Average,Paved,No Fence,Jun,2006,Warranty Deed - Conventional,Normal Sale,241500,2.5,236,18,23.221153846153847
246,246,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium,69,9142,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Above Average,Very Good,1910,1950,Gable,Standard (Composite) Shingle,Asbestos ShinglesAsbestos Shingles,NA,0,Average/Typical,Fair,Stone,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1020,Gas forced warm air furnace,Good,No,60 AMP Fuse Box and mostly knob & tube wiring (poor),1928,4,2,Fair,9,Typical Functionality,0,No Fireplace,Detached from home,1910,Unfinished,1,440,Poor,Poor,Paved,No Fence,Apr,2006,Warranty Deed - Conventional,Normal Sale,137000,2.0,172,96,14.985779916867207
247,247,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,11310,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Average,1954,1954,Hip,Standard (Composite) Shingle,Wood SidingBrick Face,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1367,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1375,2,1,Average/Typical,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954,Unfinished,2,451,Typical/Average,Typical/Average,Paved,No Fence,Jun,2006,Warranty Deed - Conventional,Normal Sale,140000,1.0,30,52,12.37842617152962
248,248,2-STORY 1946 & NEWER,Residential Low-Density,72,11317,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,101,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,840,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1668,3,1,Good,8,Typical Functionality,0,No Fireplace,Attached to the home,2003,Rough Finished,2,500,Typical/Average,Typical/Average,Paved,No Fence,Sep,2007,Warranty Deed - Conventional,Normal Sale,180000,2.5,212,4,15.90527524962446
249,249,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,159000,Paved,No Alley Access,Moderately Irregular,Depression,All Public Utilities,Cul-De-Sac,Sever Slope,Clear Creek,NormalNormal,Above Average,Good,1958,2006,Gable,Standard (Composite) Shingle,Wood SidingHard Board,Brick Common,472,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec RoomUnfinished,1444,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,2144,4,1,Good,7,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1958,Finished,2,389,Typical/Average,Typical/Average,Paved,No Fence,Jun,2007,Warranty Deed - Conventional,Normal Sale,277000,2.5,98,49,1.7421383647798743
251,251,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium,44,4750,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Inside Plot,Moderate Slope,Crawford,NormalNormal,Very Good,Average,2006,2007,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,481,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living QuartersUnfinished,1573,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1625,2,1,Good,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Finished,2,538,Typical/Average,Typical/Average,Paved,No Fence,Dec,2007,Warranty Deed - Conventional,Sale between family members,235000,3.5,276,1,49.473684210526315
252,252,2-STORY 1946 & NEWER,Residential Low-Density,65,8366,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,NormalNormal,Above Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1640,3,1,Good,6,Typical Functionality,0,No Fireplace,Attached to the home,2004,Rough Finished,2,520,Typical/Average,Typical/Average,Paved,No Fence,Dec,2008,Warranty Deed - Conventional,Normal Sale,173000,2.5,183,4,20.6789385608415
253,253,SPLIT OR MULTI-LEVEL,Residential Low-Density,85,9350,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Good,1964,1991,Hip,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,108,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low QualityAverage Living Quarters,1302,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1302,3,1,Good,7,Minor Deductions 1,0,No Fireplace,Attached to the home,1964,Rough Finished,1,309,Typical/Average,Typical/Average,Paved,Minimum Privacy,Oct,2007,Warranty Deed - Cash,Normal Sale,158000,2.5,333,43,16.898395721925134
254,254,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,8400,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1957,1957,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1314,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1314,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Attached to the home,1957,Rough Finished,1,294,Typical/Average,Typical/Average,Paved,No Fence,Jun,2010,Warranty Deed - Conventional,Normal Sale,145000,2.0,250,53,17.261904761904763
255,255,2-STORY 1946 & NEWER,Residential Low-Density,66,8738,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Good,Average,1999,1999,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,302,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,975,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2291,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1999,Finished,2,429,Typical/Average,Typical/Average,Paved,No Fence,Feb,2006,Warranty Deed - Conventional,Normal Sale,230000,2.5,192,7,26.321812771801326
256,256,2-STORY 1946 & NEWER,Floating Village Residential,64,8791,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Above Average,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1728,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2003,Rough Finished,2,673,Typical/Average,Typical/Average,Paved,No Fence,May,2008,Warranty Deed - Conventional,Normal Sale,207500,2.5,272,5,23.603685587532706
257,257,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,8814,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,180,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1604,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1604,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,2,660,Typical/Average,Typical/Average,Paved,No Fence,Mar,2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",220000,3.5,233,3,24.96029044701611
258,258,2-STORY 1946 & NEWER,Residential Low-Density,80,12435,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2001,2001,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,172,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,963,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1792,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,564,Typical/Average,Typical/Average,Paved,No Fence,May,2008,Warranty Deed - Conventional,Normal Sale,231500,2.5,341,7,18.616807398472055
